QuadratID,Traffic,distance_m,angle_(ยบ),lesser_periwinkle_cover,rumex_cover,creeping_buttercup,spanish_bluebell,grass,english_ivy_cover,himalayan_blackberry_cover,english_laurel_cover,nipplewort_cover,english_holly_cover,cutleaf_blackberry_cover,other_cover,richness_non_native,dominant_tree_species,canopy_cover,bare_ground/litter,notes
H1,High,0,236,0,0,0,0,1,0,0,0,0,0,5,1,3,cedar,10,0,"5% cutleaf blackberry, 1% unk"
H2,High,25,272,0,0,0,0,0,0,30,0,0,0,0,0,1,cedar,55,0,
H3,High,50,266,0,0,0,0,0,0,0,0,0,0,0,0,0,big leaf maple,80,35,
H4,High,75,257,0,0,0,0,0,0,0,0,0,0,0,0,1,big leaf maple,90,25,15% osoberry (native)
H5,High,100,259,0,0,0,0,0,0,0,0,0,15,0,0,1,vine maple,90,30,
H6,High,125,283,0,0,0,0,0,0,0,0,0,0,0,0,0,cedar,100,70,
H7,High,150,265,0,0,0,0,0,0,0,0,0,0,0,0,0,big leaf maple,60,80,
H8,High,175,226,0,0,0,0,0,0,0,0,0,0,0,0,0,cedar,100,90,
H9,High,200,253,0,0,0,0,0,0,0,0,0,0,0,0,0,cedar,90,90,
H10,High,225,228,0,0,0,0,0,0,0,0,0,0,0,0,0,cedar,85,45,
L1,Low,0,220,45,1,1,1,5,0,0,0,0,0,0,0,5,big leaf maple,60,0,
L2,Low,25,219,0,0,0,1,1,0,0,0,0,0,0,1,4,big leaf maple,70,0, salmonberry (10%) and unknown (1%)
L3,Low,50,219,55,0,0,2,2,0,0,0,0,0,0,0,3,cedar,70,0,
L4,Low,75,220,0,0,3,0,2,0,0,0,0,0,0,0,2,cedar,35,0,
L5,Low,100,214,0,0,0,0,1,0,0,0,0,0,0,0,1,vine maple,40,0,
L6,Low,125,212,0,0,0,0,1,0,0,0,0,0,0,0,1,big leaf maple,65,0,
L7,Low,150,209,0,1,1,0,2,0,0,0,1,0,0,1,5,big leaf maple,90,0,
L8,Low,175,203,0,0,0,0,1,0,30,0,1,0,0,0,3,big leaf maple,30,0,
L9,Low,200,198,0,0,0,0,0,0,0,0,1,0,0,0,1,alder,70,0,Holly adjacent to plot
L10,Low,225,215,0,0,2,0,1,0,55,0,0,0,0,0,3,none,0,0,
